experiment,time,lambda,utilization,avg_queue_length,avg_active_servers,avg_waiting_time
Static c=2,10.0,2.0,0.19984697894351672,0.015887700322082397,2.0,0.0067033135759665095
Static c=2,20.0,2.0,0.2011928422538066,0.01563701155583884,2.0,0.007605223290105507
Static c=2,30.0,2.0,0.18926741880291575,0.015150174182994207,2.0,0.007321292668822399
Static c=2,40.0,2.0,0.20456973140708057,0.01911369576719157,2.0,0.007817543918929954
Static c=2,50,2.0,0.20014662440485975,0.014701403065066471,2.0,0.006560730685687664
Static c=2,60.0,8.0,0.7553556174178974,2.1742488180241684,2.0,0.25896863621893135
Static c=2,70.0,8.0,0.7960556140317502,2.823379058077577,2.0,0.33643877799992966
Static c=2,80.0,8.0,0.8022741172046475,2.722060783896202,2.0,0.33054618188102003
Static c=2,90.0,8.0,0.8062987493153422,3.1174182142903755,2.0,0.37007121572094875
Static c=2,100,8.0,0.8075520296166863,3.1114399338325143,2.0,0.3772003023986755
Static c=2,110.0,18.0,0.9956975567539753,42.10875210568373,2.0,2.3262572628547153
Static c=2,120.0,18.0,1.0,118.30973528905807,2.0,6.639686369835017
Static c=2,130.0,18.0,1.0,197.81553851246207,2.0,10.946945044979925
Static c=2,140.0,18.0,1.0,277.8388964840274,2.0,15.364871669016493
Static c=2,150,18.0,1.0,357.22683644205966,2.0,19.763998913890145
Static c=2,160.0,5.0,1.0,371.68027868767416,2.0,24.202199976631174
Static c=2,170.0,5.0,1.0,321.80779961340073,2.0,28.662089635081312
Static c=2,180.0,5.0,1.0,270.8410930561836,2.0,33.09056058054888
Static c=2,190.0,5.0,1.0,221.2266831251258,2.0,36.97735440050182
Static c=2,200,5.0,1.0,170.48561067347038,2.0,33.601854169114716
Static c=2,210.0,2.0,0.9838327164331656,104.38981405445811,2.0,24.012490392418016
Static c=2,220.0,2.0,0.7458347114768195,35.49163343715569,2.0,12.924059812945819
Static c=2,230.0,2.0,0.33375030816194545,4.432466187633452,2.0,2.669224420725606
Static c=2,240.0,2.0,0.19982229221294426,0.08259380522327067,2.0,0.09936768063353904
Static c=2,250.0,2.0,0.1948402154605318,0.01584038355620527,2.0,0.007863588473807697
Static c=6,10.0,2.0,0.06683169111568815,0.0,6.0,0.0
Static c=6,20.0,2.0,0.06722432306337306,0.0,6.0,0.0
Static c=6,30.0,2.0,0.06377873692532578,0.0,6.0,0.0
Static c=6,40.0,2.0,0.06954010778912474,0.0,6.0,0.0
Static c=6,50,2.0,0.06733323985754484,0.0,6.0,0.0
Static c=6,60.0,8.0,0.2661435903201292,0.002264921033791822,6.0,0.000257945161743455
Static c=6,70.0,8.0,0.27110392149085405,0.0013781137769360398,6.0,0.0001632506958356534
Static c=6,80.0,8.0,0.26890672146584527,0.0012131254750895552,6.0,0.0001394895504243222
Static c=6,90.0,8.0,0.27183985809041844,0.0014467200675287444,6.0,0.00016855770881970305
Static c=6,100,8.0,0.2664890743762916,0.0017666279349361246,6.0,0.0002174273073248827
Static c=6,110.0,18.0,0.599677410785269,0.33492063402657346,6.0,0.017994727715152047
Static c=6,120.0,18.0,0.6023757005699681,0.29494650890128626,6.0,0.01590129018403127
Static c=6,130.0,18.0,0.5932736351301517,0.2573494813419248,6.0,0.013911558100598494
Static c=6,140.0,18.0,0.6068253666980487,0.35489390679385885,6.0,0.019162912958981978
Static c=6,150,18.0,0.5891701131567306,0.2781235724804202,6.0,0.015262144907301543
Static c=6,160.0,5.0,0.1795732413396792,0.004030704754468246,6.0,0.001614664742411665
Static c=6,170.0,5.0,0.16982438992447438,2.7380898021334587e-05,6.0,4.3461742891007285e-06
Static c=6,180.0,5.0,0.16982496328624389,0.0001013796217490892,6.0,1.823915982293324e-05
Static c=6,190.0,5.0,0.16789874084437792,6.0113927373919294e-05,6.0,1.0169985473962407e-05
Static c=6,200,5.0,0.16829938246440881,0.0,6.0,0.0
Static c=6,210.0,2.0,0.07036698774975941,0.0,6.0,0.0
Static c=6,220.0,2.0,0.06876493090221808,0.0,6.0,0.0
Static c=6,230.0,2.0,0.06437426705820412,0.0,6.0,0.0
Static c=6,240.0,2.0,0.0603743514938374,0.0,6.0,0.0
Static c=6,250.0,2.0,0.06495396697582684,0.0,6.0,0.0
Dynamic autoscaling,10.0,2.0,0.19984697894351672,0.015887700322082397,2.0,0.0067033135759665095
Dynamic autoscaling,20.0,2.0,0.2577961036918222,0.07312974519904283,1.65,0.03388358554244068
Dynamic autoscaling,30.0,2.0,0.2894493055189245,0.13411174867773393,1.46,0.06428004229988449
Dynamic autoscaling,40.0,2.0,0.35049493560617706,0.19801734039477012,1.27,0.09508328679368427
Dynamic autoscaling,50,2.0,0.37325932400376877,0.20624851926676083,1.18,0.09337764875812495
Dynamic autoscaling,60.0,8.0,0.9600270554239497,15.193063122170422,1.09,1.872272536205951
Dynamic autoscaling,70.0,8.0,0.9522936284854324,22.417555891394528,1.93,2.7958129697204566
Dynamic autoscaling,80.0,8.0,0.873791459733564,13.164036963102014,2.06,1.6318060735787532
Dynamic autoscaling,90.0,8.0,0.6637145971193266,4.650479957359274,2.68,0.6301823915956184
Dynamic autoscaling,100,8.0,0.5800965599290684,1.2749977047889276,2.87,0.1839585665750408
Dynamic autoscaling,110.0,18.0,0.9748588132779875,17.766582854381003,2.94,0.9840699505915858
Dynamic autoscaling,120.0,18.0,0.9561911335433689,26.409462308384914,3.87,1.4523502263350756
Dynamic autoscaling,130.0,18.0,0.9198904743816813,22.87815164928138,3.94,1.2470739969740863
Dynamic autoscaling,140.0,18.0,0.8070814991542434,14.63307558047795,4.75,0.8097721000916596
Dynamic autoscaling,150,18.0,0.7347291990240863,7.612325142517783,4.94,0.4319706225845172
Dynamic autoscaling,160.0,5.0,0.22843509893444086,1.8328026314065877,5.09,0.2081051643292977
Dynamic autoscaling,170.0,5.0,0.23454322291301533,0.02014070497575926,4.54,0.012936353712019589
Dynamic autoscaling,180.0,5.0,0.2429780337437462,0.006229142975091321,4.17,0.0012168179223059983
Dynamic autoscaling,190.0,5.0,0.27442026431299255,0.021332162698805942,3.82,0.003954546641038388
Dynamic autoscaling,200,5.0,0.3001315378294238,0.02228255399529201,3.46,0.00420896156005885
Dynamic autoscaling,210.0,2.0,0.13386114485461734,0.0014125177855614764,3.26,0.0006480082190574616
Dynamic autoscaling,220.0,2.0,0.15286858819392438,0.010901188605740117,2.59,0.004285071863923938
Dynamic autoscaling,230.0,2.0,0.1723731951449511,0.010552331274224315,2.31,0.004893785159205843
Dynamic autoscaling,240.0,2.0,0.215394781008054,0.06218626230294274,1.89,0.02816745455238079
Dynamic autoscaling,250.0,2.0,0.26760738037167947,0.0954984176318256,1.67,0.042271503209700724
